ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts,total_count,Month_num,Day_num
4382494,"July 20, 2022 03:00:00 PM",2022,July,20,Wednesday,15,8,Webb Bridge,275,10114,7,3
1404504,"February 13, 2016 06:00:00 PM",2016,February,13,Saturday,18,23,Spencer St-Collins St (South),325,7263,2,6
3463076,"December 19, 2020 05:00:00 AM",2020,December,19,Saturday,5,50,Faraday St-Lygon St (West),7,4434,12,6
2675778,"May 19, 2019 01:00:00 AM",2019,May,19,Sunday,1,1,Bourke Street Mall (North),142,39294,5,7
2494810,"December 19, 2018 08:00:00 AM",2018,December,19,Wednesday,8,12,New Quay,355,9339,12,3
2186330,"April 04, 2018 07:00:00 PM",2018,April,4,Wednesday,19,33,Flinders St-Spring St (West),161,3961,4,3
82919,"November 19, 2009 05:00:00 AM",2009,November,19,Thursday,5,5,Princes Bridge,116,52415,11,4
4198071,"March 01, 2022 01:00:00 PM",2022,March,1,Tuesday,13,5,Princes Bridge,962,52415,3,2
3363238,"October 12, 2020 09:00:00 AM",2020,October,12,Monday,9,25,Melbourne Convention Exhibition Centre,265,21974,10,1
832974,"April 27, 2014 01:00:00 AM",2014,April,27,Sunday,1,2,Bourke Street Mall (South),151,51884,4,7
4175065,"February 01, 2022 12:00:00 AM",2022,February,1,Tuesday,0,73,Bourke St - Spencer St (South),10,225,2,2
3324013,"September 15, 2020 06:00:00 AM",2020,September,15,Tuesday,6,5,Princes Bridge,118,52415,9,2
235291,"November 12, 2010 02:00:00 PM",2010,November,12,Friday,14,13,Flagstaff Station,847,16612,11,5
1720694,"December 30, 2016 07:00:00 PM",2016,December,30,Friday,19,29,St Kilda Rd-Alexandra Gardens,729,11995,12,5
3119504,"April 21, 2020 04:00:00 PM",2020,April,21,Tuesday,16,50,Faraday St-Lygon St (West),113,4434,4,2
2779762,"August 08, 2019 10:00:00 PM",2019,August,8,Thursday,22,34,Flinders St-Spark La,32,3015,8,4
2790667,"August 17, 2019 11:00:00 AM",2019,August,17,Saturday,11,36,Queen St (West),242,5556,8,6
1894911,"July 09, 2017 05:00:00 PM",2017,July,9,Sunday,17,33,Flinders St-Spring St (West),167,3961,7,7
178961,"June 29, 2010 02:00:00 PM",2010,June,29,Tuesday,14,5,Princes Bridge,1195,52415,6,2
929325,"August 31, 2014 03:00:00 PM",2014,August,31,Sunday,15,9,Southern Cross Station,123,19152,8,7
4493142,"September 18, 2022 11:00:00 PM",2022,September,18,Sunday,23,47,Melbourne Central-Elizabeth St (East),233,25243,9,7
1030197,"January 08, 2015 08:00:00 PM",2015,January,8,Thursday,20,24,Spencer St-Collins St (North),430,28852,1,4
4078783,"May 31, 2021 05:00:00 AM",2021,May,31,Monday,5,19,Chinatown-Swanston St (North),0,9047,5,1
116024,"February 03, 2010 08:00:00 PM",2010,February,3,Wednesday,20,8,Webb Bridge,68,10114,2,3
2145481,"February 28, 2018 01:00:00 AM",2018,February,28,Wednesday,1,51,QVM-Franklin St (North),14,2358,2,3
4400715,"July 19, 2022 10:00:00 PM",2022,July,19,Tuesday,22,41,Flinders La-Swanston St (West),2076,18345,7,2
2205719,"April 21, 2018 01:00:00 PM",2018,April,21,Saturday,13,42,Grattan St-Swanston St (West),321,4073,4,6
3428981,"November 26, 2020 07:00:00 PM",2020,November,26,Thursday,19,29,St Kilda Rd-Alexandra Gardens,196,11995,11,4
